OrderID;OrderDate;OrderRequiredDate;OrderShippedDate;OrderShipVia;OrderFreight;OrderShipName;OrderShipAddress;OrderShipCity;OrderShipRegion;OrderShipPostalCode;OrderShipCountry;CustomerID;CustCompanyName;CustContactName;CustContactTitle;CustAddress;CustCity;CustRegion;CustPostalCode;CustCountry;CustPhone;CustFax;EmployeeID;EmployeeLastName;EmployeeFirstName;EmployeeTitle;EmployeeTitleOfCourtesy;EmployeeBirthDate;EmployeeHireDate;EmployeeAddress;EmployeeCity;EmployeeRegion;EmployeePostalCode;EmployeeCountry;EmployeeHomePhone;EmployeeExtension;EmployeeNotes;EmployeeReportsTo;UnitPrice;Quantity;Discount;ProductID;ProductName;ProductSupplierID;ProductQuantityPerUnit;ProductUnitPrice;ProductUnitsInStock;ProductUnitsOnOrder;ProductReorderLevel;ProductDiscontinued;SupplierID;SupplierCompanyName;SupplierContactName;SupplierContactTitle;SupplierAddress;SupplierCity;SupplierRegion;SupplierPostalCode;SupplierCountry;SupplierPhone;SupplierFax;CategoryID;CategoryName;Description
10251;08-07-2019;05-08-2019;15-07-2019;1;41,34;Victuailles en stock;2, rue du Commerce;Lyon;;69004;France;VICTE;Victuailles en stock;Mary Saveley;Sales Agent;2, rue du Commerce;Lyon;;69004;France;78.32.54.86;78.32.54.87;3;Leverling;Janet;Sales Representative;Ms.;30-08-1963;01-04-1992;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;(206) 555-3412;3355;Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.;2;16,8;20;0;65;Louisiana Fiery Hot Pepper Sauce;2;32 - 8 oz bottles;21,05;76;0;0;FALSO;2;New Orleans Cajun Delights;Shelley Burke;Order Administrator;P.O. Box 78934;New Orleans;LA;70117;USA;(100) 555-4822;;2;Condiments;Sweet and savory sauces, relishes, spreads, and seasonings
10252;09-07-2019;06-08-2019;11-07-2019;2;51,3;Supr�mes d�lices;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium;SUPRD;Supr�mes d�lices;Pascale Cartrain;Accounting Manager;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium;(071) 23 67 22 20;(071) 23 67 22 21;4;Peacock;Margaret;Sales Representative;Mrs.;19-09-1937;03-05-1993;4110 Old Redmond Rd.;Redmond;WA;98052;USA;(206) 555-8122;5176;Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.;2;64,8;40;0,05;20;Sir Rodney's Marmalade;8;30 gift boxes;81;40;0;0;FALSO;8;Specialty Biscuits, Ltd.;Peter Wilson;Sales Representative;29 King's Way;Manchester;;M14 GSD;UK;(161) 555-4448;;3;Confections;Desserts, candies, and sweet breads
10252;09-07-2019;06-08-2019;11-07-2019;2;51,3;Supr�mes d�lices;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium;SUPRD;Supr�mes d�lices;Pascale Cartrain;Accounting Manager;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium;(071) 23 67 22 20;(071) 23 67 22 21;4;Peacock;Margaret;Sales Representative;Mrs.;19-09-1937;03-05-1993;4110 Old Redmond Rd.;Redmond;WA;98052;USA;(206) 555-8122;5176;Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.;2;2;25;0,05;33;Geitost;15;500 g;2,5;112;0;20;FALSO;15;Norske Meierier;Beate Vileid;Marketing Manager;Hatlevegen 5;Sandvika;;1320;Norway;(0)2-953010;;4;Dairy Products;Cheeses
10252;09-07-2019;06-08-2019;11-07-2019;2;51,3;Supr�mes d�lices;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium;SUPRD;Supr�mes d�lices;Pascale Cartrain;Accounting Manager;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium;(071) 23 67 22 20;(071) 23 67 22 21;4;Peacock;Margaret;Sales Representative;Mrs.;19-09-1937;03-05-1993;4110 Old Redmond Rd.;Redmond;WA;98052;USA;(206) 555-8122;5176;Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.;2;27,2;40;0;60;Camembert Pierrot;28;15 - 300 g rounds;34;19;0;0;FALSO;28;Gai p�turage;Eliane Noz;Sales Representative;Bat. B 3, rue des Alpes;Annecy;;74000;France;38.76.98.06;38.76.98.58;4;Dairy Products;Cheeses
10253;10-07-2019;24-07-2019;16-07-2019;2;58,17;Hanari Carnes;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;Mario Pontes;Accounting Manager;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;(21) 555-0091;(21) 555-8765;3;Leverling;Janet;Sales Representative;Ms.;30-08-1963;01-04-1992;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;(206) 555-3412;3355;Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.;2;10;20;0;31;Gorgonzola Telino;14;12 - 100 g pkgs;12,5;0;70;20;FALSO;14;Formaggi Fortini s.r.l.;Elio Rossi;Sales Representative;Viale Dante, 75;Ravenna;;48100;Italy;(0544) 60323;(0544) 60603;4;Dairy Products;Cheeses
10253;10-07-2019;24-07-2019;16-07-2019;2;58,17;Hanari Carnes;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;Mario Pontes;Accounting Manager;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;(21) 555-0091;(21) 555-8765;3;Leverling;Janet;Sales Representative;Ms.;30-08-1963;01-04-1992;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;(206) 555-3412;3355;Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.;2;14,4;42;0;39;Chartreuse verte;18;750 cc per bottle;18;69;0;5;FALSO;18;Aux joyeux eccl�siastiques;Guyl�ne Nodier;Sales Manager;203, Rue des Francs-Bourgeois;Paris;;75004;France;(1) 03.83.00.68;(1) 03.83.00.62;1;Beverages;Soft drinks, coffees, teas, beers, and ales
10253;10-07-2019;24-07-2019;16-07-2019;2;58,17;Hanari Carnes;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;HANAR;Hanari Carnes;Mario Pontes;Accounting Manager;Rua do Pa�o, 67;Rio de Janeiro;RJ;05454-876;Brazil;(21) 555-0091;(21) 555-8765;3;Leverling;Janet;Sales Representative;Ms.;30-08-1963;01-04-1992;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;(206) 555-3412;3355;Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.;2;16;40;0;49;Maxilaku;23;24 - 50 g pkgs.;20;10;60;15;FALSO;23;Karkki Oy;Anne Heikkonen;Product Manager;Valtakatu 12;Lappeenranta;;53120;Finland;(953) 10956;;3;Confections;Desserts, candies, and sweet breads
10254;11-07-2019;08-08-2019;23-07-2019;2;22,98;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland;CHOPS;Chop-suey Chinese;Yang Wang;Owner;Hauptstr. 29;Bern;;3012;Switzerland;0452-076545;;5;Buchanan;Steven;Sales Manager;Mr.;04-03-1955;17-10-1993;14 Garrett Hill;London;;SW1 8JR;UK;(71) 555-4848;3453;"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses ""Successful Telemarketing"" and ""International Sales Management.""  He is fluent in French.";2;3,6;15;0,15;24;Guaran� Fant�stica;10;12 - 355 ml cans;4,5;20;0;0;VERDADERO;10;Refrescos Americanas LTDA;Carlos Diaz;Marketing Manager;Av. das Americanas 12.890;Sao Paulo;;5442;Brazil;(11) 555 4640;;1;Beverages;Soft drinks, coffees, teas, beers, and ales
10254;11-07-2019;08-08-2019;23-07-2019;2;22,98;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland;CHOPS;Chop-suey Chinese;Yang Wang;Owner;Hauptstr. 29;Bern;;3012;Switzerland;0452-076545;;5;Buchanan;Steven;Sales Manager;Mr.;04-03-1955;17-10-1993;14 Garrett Hill;London;;SW1 8JR;UK;(71) 555-4848;3453;"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses ""Successful Telemarketing"" and ""International Sales Management.""  He is fluent in French.";2;19,2;21;0,15;55;P�t� chinois;25;24 boxes x 2 pies;24;115;0;20;FALSO;25;Ma Maison;Jean-Guy Lauzon;Marketing Manager;2960 Rue St. Laurent;Montr�al;Qu�bec;H1J 1C3;Canada;(514) 555-9022;;6;Meat/Poultry;Prepared meats
10254;11-07-2019;08-08-2019;23-07-2019;2;22,98;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland;CHOPS;Chop-suey Chinese;Yang Wang;Owner;Hauptstr. 29;Bern;;3012;Switzerland;0452-076545;;5;Buchanan;Steven;Sales Manager;Mr.;04-03-1955;17-10-1993;14 Garrett Hill;London;;SW1 8JR;UK;(71) 555-4848;3453;"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses ""Successful Telemarketing"" and ""International Sales Management.""  He is fluent in French.";2;8;21;0;74;Longlife Tofu;4;5 kg pkg.;10;4;20;5;FALSO;4;Tokyo Traders;Yoshi Nagase;Marketing Manager;9-8 Sekimai Musashino-shi;Tokyo;;100;Japan;(03) 3555-5011;;7;Produce;Dried fruit and bean curd
10255;12-07-2019;09-08-2019;15-07-2019;3;148,33;Richter Supermarkt;Starenweg 5;Gen�ve;;1204;Switzerland;RICSU;Richter Supermarkt;Michael Holz;Sales Manager;Grenzacherweg 237;Gen�ve;;1203;Switzerland;0897-034214;;9;Dodsworth;Anne;Sales Representative;Ms.;27-01-1966;15-11-1994;7 Houndstooth Rd.;London;;WG2 7LT;UK;(71) 555-4444;452;Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German.;5;15,2;20;0;2;Chang;1;24 - 12 oz bottles;19;17;40;25;FALSO;1;Exotic Liquids;Charlotte Cooper;Purchasing Manager;49 Gilbert St.;London;;EC1 4SD;UK;(171) 555-2222;;1;Beverages;Soft drinks, coffees, teas, beers, and ales
10255;12-07-2019;09-08-2019;15-07-2019;3;148,33;Richter Supermarkt;Starenweg 5;Gen�ve;;1204;Switzerland;RICSU;Richter Supermarkt;Michael Holz;Sales Manager;Grenzacherweg 237;Gen�ve;;1203;Switzerland;0897-034214;;9;Dodsworth;Anne;Sales Representative;Ms.;27-01-1966;15-11-1994;7 Houndstooth Rd.;London;;WG2 7LT;UK;(71) 555-4444;452;Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German.;5;13,9;35;0;16;Pavlova;7;32 - 500 g boxes;17,45;29;0;10;FALSO;7;Pavlova, Ltd.;Ian Devling;Marketing Manager;74 Rose St. Moonie Ponds;Melbourne;Victoria;3058;Australia;(03) 444-2343;(03) 444-6588;3;Confections;Desserts, candies, and sweet breads
10255;12-07-2019;09-08-2019;15-07-2019;3;148,33;Richter Supermarkt;Starenweg 5;Gen�ve;;1204;Switzerland;RICSU;Richter Supermarkt;Michael Holz;Sales Manager;Grenzacherweg 237;Gen�ve;;1203;Switzerland;0897-034214;;9;Dodsworth;Anne;Sales Representative;Ms.;27-01-1966;15-11-1994;7 Houndstooth Rd.;London;;WG2 7LT;UK;(71) 555-4444;452;Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German.;5;15,2;25;0;36;Inlagd Sill;17;24 - 250 g  jars;19;112;0;20;FALSO;17;Svensk Sj�f�da AB;Michael Bj�rn;Sales Representative;Brovallav�gen 231;Stockholm;;S-123 45;Sweden;08-123 45 67;;8;Seafood;Seaweed and fish
10255;12-07-2019;09-08-2019;15-07-2019;3;148,33;Richter Supermarkt;Starenweg 5;Gen�ve;;1204;Switzerland;RICSU;Richter Supermarkt;Michael Holz;Sales Manager;Grenzacherweg 237;Gen�ve;;1203;Switzerland;0897-034214;;9;Dodsworth;Anne;Sales Representative;Ms.;27-01-1966;15-11-1994;7 Houndstooth Rd.;London;;WG2 7LT;UK;(71) 555-4444;452;Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German.;5;44;30;0;59;Raclette Courdavault;28;5 kg pkg.;55;79;0;0;FALSO;28;Gai p�turage;Eliane Noz;Sales Representative;Bat. B 3, rue des Alpes;Annecy;;74000;France;38.76.98.06;38.76.98.58;4;Dairy Products;Cheeses
10256;15-07-2019;12-08-2019;17-07-2019;2;13,97;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brazil;WELLI;Wellington Importadora;Paula Parente;Sales Manager;Rua do Mercado, 12;Resende;SP;08737-363;Brazil;(14) 555-8122;;3;Leverling;Janet;Sales Representative;Ms.;30-08-1963;01-04-1992;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;(206) 555-3412;3355;Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.;2;26,2;15;0;53;Perth Pasties;24;48 pieces;32,8;0;0;0;VERDADERO;24;G'day, Mate;Wendy Mackenzie;Sales Representative;170 Prince Edward Parade Hunter's Hill;Sydney;NSW;2042;Australia;(02) 555-5914;(02) 555-4873;6;Meat/Poultry;Prepared meats
10256;15-07-2019;12-08-2019;17-07-2019;2;13,97;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brazil;WELLI;Wellington Importadora;Paula Parente;Sales Manager;Rua do Mercado, 12;Resende;SP;08737-363;Brazil;(14) 555-8122;;3;Leverling;Janet;Sales Representative;Ms.;30-08-1963;01-04-1992;722 Moss Bay Blvd.;Kirkland;WA;98033;USA;(206) 555-3412;3355;Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.;2;10,4;12;0;77;Original Frankfurter gr�ne So�e;12;12 boxes;13;32;0;15;FALSO;12;Plutzer Lebensmittelgro�m�rkte AG;Martin Bein;International Marketing Mgr.;Bogenallee 51;Frankfurt;;60439;Germany;(069) 992755;;2;Condiments;Sweet and savory sauces, relishes, spreads, and seasonings
10257;16-07-2019;13-08-2019;22-07-2019;3;81,91;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;HILAA;HILARION-Abastos;Carlos Hern�ndez;Sales Representative;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;(5) 555-1340;(5) 555-1948;4;Peacock;Margaret;Sales Representative;Mrs.;19-09-1937;03-05-1993;4110 Old Redmond Rd.;Redmond;WA;98052;USA;(206) 555-8122;5176;Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.;2;35,1;25;0;27;Schoggi Schokolade;11;100 - 100 g pieces;43,9;49;0;30;FALSO;11;Heli S��waren GmbH & Co. KG;Petra Winkler;Sales Manager;Tiergartenstra�e 5;Berlin;;10785;Germany;(010) 9984510;;3;Confections;Desserts, candies, and sweet breads
10257;16-07-2019;13-08-2019;22-07-2019;3;81,91;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;HILAA;HILARION-Abastos;Carlos Hern�ndez;Sales Representative;Carrera 22 con Ave. Carlos Soublette #8-35;San Crist�bal;T�chira;5022;Venezuela;(5) 555-1340;(5) 555-1948;4;Peacock;Margaret;Sales Representative;Mrs.;19-09-1937;03-05-1993;4110 Old Redmond Rd.;Redmond;WA;98052;USA;(206) 555-8122;5176;Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.;2;14,4;6;0;39;Chartreuse verte;18;750 cc per bottle;18;69;0;5;FALSO;18;Aux joyeux eccl�siastiques;Guyl�ne Nodier;Sales Manager;203, Rue des Francs-Bourgeois;Paris;;75004;France;(1) 03.83.00.68;(1) 03.83.00.62;1;Beverages;Soft drinks, coffees, teas, beers, and ales
